(가구대표자용) 문15. 귀하는 통근이나 통학을 하십니까?,(가구대표자용) 문15-2. 귀하가 통근 또는 통학할 때 주로 이용하는 교통수단은 무엇입니까?,(가구대표자용) 문15-5. 귀하께서 통근·통학 시 가장 불편한 점은 무엇입니까?,(가구대표자용) 문16. 귀하는 평소 이동하실 때 주로 어떠한 교통수단을 이용하십니까?,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 1. 버스,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 2. 지하철,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 3. 택시,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 4. 시외버스/고속버스,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 5. 개인형 이동수단,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 6. 주차시설,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 1. 버스,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 2. 지하철,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 3. 택시,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 4. 시외버스/고속버스,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 5. 개인형 이동수단,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 6. 주차시설,(가구대표자용) 문19. 다음은 수원시 교통환경을 구체화한 내용입니다. 각 항목에 대해 얼마나 만족하십니까? - 1. 교통인프라 환경,(가구대표자용) 문19. 다음은 수원시 교통환경을 구체화한 내용입니다. 각 항목에 대해 얼마나 만족하십니까? - 2. 교통약자 이용 환경,(가구대표자용) 문15-4. 귀하의 통근·통학 환경에 대하여 전반적으로 만족하십니까?
1,통근버스,1.0,"시내버스, 마을버스",②,②,③,④ 보통,④ 보통,⑤,②,②,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,6.0
1,자차(승용차),5.0,자차(승용차),⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑤,⑤,④ 보통,⑤,⑦ 매우 만족한다,⑦ 매우 만족한다,⑤,④ 보통,① 전혀 만족하지 않는다,④ 보통,⑥,④ 보통,6.0
1,지하철,3.0,자차(승용차),⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,6.0
1,자차(승용차),4.0,자차(승용차),⑤,⑥,②,③,③,④ 보통,④ 보통,⑥,②,③,②,④ 보통,③,③,2.0
1,"개인형 이동수단(전동휠, 킥보드, 전기자전거 등)",8.0,지하철,⑥,⑥,⑥,⑥,④ 보통,④ 보통,⑥,⑥,⑥,⑥,④ 보통,④ 보통,⑥,④ 보통,6.0
1,자차(승용차),7.0,자차(승용차),⑤,④ 보통,④ 보통,⑤,③,③,④ 보통,④ 보통,④ 보통,③,③,③,⑤,④ 보통,5.0
1,지하철,6.0,지하철,⑤,⑤,⑤,⑤,⑤,⑤,⑤,④ 보통,④ 보통,④ 보통,⑤,④ 보통,⑤,⑤,5.0
3,,,"시내버스, 마을버스",④ 보통,③,⑤,⑤,④ 보통,④ 보통,④ 보통,③,④ 보통,⑤,④ 보통,④ 보통,⑤,④ 보통,
1,지하철,3.0,지하철,⑤,⑥,⑥,③,⑤,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,⑤,⑤,1.0
1,"시내버스, 마을버스",4.0,자차(승용차),⑤,④ 보통,⑥,⑤,⑤,⑤,⑤,③,⑤,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,5.0
1,지하철,3.0,지하철,⑤,③,④ 보통,⑤,④ 보통,③,④ 보통,③,④ 보통,④ 보통,③,③,④ 보통,②,4.0
1,자차(승용차),6.0,자차(승용차),⑤,④ 보통,④ 보통,④ 보통,③,③,④ 보통,④ 보통,④ 보통,④ 보통,③,③,④ 보통,③,4.0
1,자전거(무동력),1.0,자전거(무동력),④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,③,④ 보통,③,④ 보통,③,④ 보통,③,③,③,4.0
